lr,reg,dropout,init_k,ndim,nlayer,time,accuracy_mean,accuracy_std
7.73E-06,0.419798985,0.2,32,256,6,219.2697883,0.185666665,0.039684871
7.09E-07,1.59E-07,0.2,8,128,5,102.0923831,0.182666662,0.092268926
0.000131527,0.000228137,0.2,32,128,4,90.08841705,0.181999991,0.054043189
0.001862312,1.42E-06,0.35,16,128,6,212.8646855,0.181666667,0.044394696
1.47E-07,7.63E-06,0.35,4,256,5,158.8578355,0.181000004,0.069469425
1.22E-07,0.012287696,0.5,8,64,6,61.21299362,0.179,0.042926291
0.000256328,4.97E-07,0.35,4,64,6,67.08377242,0.174666658,0.054322082
7.51E-07,2.68E-07,0.05,32,64,6,65.58944678,0.173333334,0.057331395
1.04E-05,0.000752937,0.25,32,64,4,44.60302186,0.170999999,0.047081491
2.42E-07,1.16E-05,0.15,4,64,5,44.57411933,0.169666668,0.100784703
0.000977584,0.00048599,0.5,4,64,5,64.77732253,0.169333334,0.006236096
7.11E-07,0.030737536,0.5,8,64,1,14.30850172,0.167666664,0.044078211
0.053395898,0.004145181,0.3,32,128,5,111.0058997,0.166666667,0.008178561
1.04E-05,6.69E-07,0.3,4,128,5,98.69468093,0.165999999,0.059262128
0.000803943,0.0007505,0.25,16,128,6,120.0042162,0.165333336,0.011025228
5.74E-07,0.000177006,0.35,32,64,5,71.22044778,0.165333336,0.056346151
3.86E-07,0.000171962,0.2,8,256,4,129.7586153,0.164333336,0.051699993
6.92E-06,3.44E-08,0.2,4,64,1,7.678197384,0.161000003,0.038910155
2.19E-07,2.68E-07,0.05,32,128,2,28.24277115,0.160999998,0.025922962
9.18E-05,0.002893123,0.35,4,64,1,13.75264215,0.160999998,0.032124754
1.36E-05,5.61E-05,0.4,16,64,1,10.00191331,0.160999996,0.061730596
1.28E-05,2.81E-06,0.35,32,64,6,78.6771605,0.160333335,0.032065908
3.42E-05,2.45E-05,0.45,16,256,5,183.8284943,0.160333335,0.053555784
1.27E-07,0.000248165,0.45,32,128,4,78.41386104,0.159333333,0.033159547
1.36E-06,0.047923541,0.2,32,256,6,177.3661263,0.159000002,0.071180523
7.74E-06,0.000274537,0.4,16,128,4,65.5058074,0.158333339,0.04112042
2.46E-07,1.05E-05,0.05,4,128,1,16.6974175,0.158333334,0.033983655
2.09E-07,0.651511451,0.45,32,256,4,144.2772496,0.158000002,0.017146433
5.21E-07,0.000260852,0.5,32,256,4,167.7882726,0.157999997,0.014142136
8.61E-06,0.000974898,0.2,8,64,3,31.89698458,0.157666668,0.021171256
7.75E-06,2.22E-05,0.45,16,64,6,76.80783653,0.157666668,0.045213078
0.000308256,0.000459318,0.5,32,64,3,41.80112004,0.157333334,0.011025228
1.85E-06,4.15E-07,0.5,16,256,4,115.716949,0.157333329,0.00235702
1.35E-06,0.01260799,0.15,32,256,3,132.0239284,0.157,0.029529645
1.59E-06,2.29E-07,0.1,32,128,4,119.3092844,0.156666671,0.011469766
0.000938602,0.337905123,0.1,32,128,5,162.7833984,0.156333337,0.001247222
2.61E-05,0.003107033,0.5,16,256,5,151.1145821,0.155666667,0.041491633
8.12E-05,9.81E-06,0.5,32,256,5,186.3826091,0.155333335,0.014267287
1.74E-06,0.003903133,0.05,32,128,2,48.44306636,0.153999999,0.052383204
5.40E-07,8.51E-07,0.4,32,128,4,101.9909563,0.153999999,0.04445222
2.87E-05,8.55E-05,0.15,32,64,6,72.53516102,0.151666669,0.05253782
0.012161772,2.39E-06,0.4,32,64,3,59.86827731,0.151666666,0.012684199
0.00841619,0.757626545,0.1,4,64,4,30.92413831,0.151333337,0.006649979
0.000487586,9.02E-05,0.45,32,64,6,121.4032576,0.151333332,0.011440666
1.77E-07,6.83E-06,0.5,16,128,2,24.45021057,0.150666669,0.041330646
6.09E-07,0.0858384,0.4,16,128,4,83.26346731,0.150666664,0.011897711
3.07E-05,1.45E-08,0.45,16,64,4,43.54961658,0.150000001,0.042762913
1.03E-06,3.57E-06,0.15,16,256,3,78.11754322,0.14866667,0.001885622
7.47E-05,3.27E-05,0.3,4,64,2,25.28664708,0.148666665,0.007930254
3.60E-05,0.001998678,0.1,4,64,4,34.70273328,0.148666662,0.058959496
0.018116109,9.40E-06,0.45,32,128,4,78.55475426,0.148333331,0.016438434
8.18E-07,1.11E-07,0.5,32,64,6,84.82246614,0.147000002,0.028437064
0.00036239,0.011334807,0.45,8,64,6,62.8401947,0.146666663,0.02023748
2.08E-07,0.013209429,0.5,32,256,6,205.6592059,0.144666664,0.041986769
2.21E-07,1.09E-06,0.4,16,256,1,20.82471657,0.144000001,0.026981472
4.45E-07,0.000616259,0.25,16,64,5,51.79867625,0.143333331,0.004496915
7.02E-05,6.47E-05,0.5,16,128,1,30.99136496,0.142666665,0.036426484
1.37E-06,7.98E-08,0.15,16,256,1,42.57168674,0.142333336,0.062270022
1.09E-05,2.24E-05,0.25,16,128,6,109.0239232,0.142000005,0.031790984
2.99E-05,7.75E-07,0.3,8,64,5,54.95403433,0.142000002,0.032135134
2.94E-06,0.000737815,0.15,8,256,4,102.5947702,0.142,0.019304578
4.33E-06,0.120217588,0.25,8,64,4,57.25361419,0.140333335,0.03515995
2.25E-05,0.001352524,0.45,16,128,3,63.04959702,0.139666669,0.013274871
3.93E-05,4.96E-08,0.1,8,128,1,21.00715423,0.139666667,0.004109606
2.82E-06,1.01E-07,0.45,32,128,1,28.30316782,0.138999999,0.013441236
1.16E-06,2.85E-07,0.45,8,256,3,91.04410601,0.138666665,0.024931018
0.000219338,0.000367222,0.4,4,128,5,109.2891777,0.138333336,0.029510826
0.000194889,7.10E-06,0.3,32,64,4,67.65963674,0.137000002,0.015253418
3.46E-07,5.02E-05,0.4,8,64,4,39.70508432,0.134999998,0.010198038
6.64E-06,0.020818106,0.3,4,128,1,28.75189328,0.134666669,0.047415424
2.79E-06,0.001997811,0.35,8,64,1,12.67319751,0.134666666,0.034081598
0.00068263,0.010914916,0.5,4,128,6,72.76514339,0.134333335,0.021171262
5.58E-07,8.71E-05,0.1,32,128,1,16.06283545,0.134333332,0.034922132
1.53E-07,1.21E-07,0.45,16,64,6,62.85301137,0.134000001,0.010614456
1.17E-06,0.800498581,0.2,8,64,4,31.54068851,0.133999998,0.039064048
0.000270224,0.029256775,0.4,4,128,4,65.71749377,0.133999998,0.042918529
2.42E-07,0.31151917,0.2,32,64,5,70.56798077,0.133666669,0.029044031
3.16E-06,0.001886852,0.3,32,256,3,80.15948844,0.133666667,0.047786566
0.000262674,4.10E-08,0.4,16,64,6,70.35969186,0.133666667,0.020154955
1.94E-06,1.25E-06,0.25,4,256,6,158.0426755,0.133333335,0.036935378
6.21E-07,0.000138135,0.5,32,256,5,181.8990195,0.132666667,0.039550254
7.34E-07,4.51E-05,0.5,8,256,5,148.7066047,0.132333333,0.045492368
7.98E-05,9.32E-06,0.3,4,64,2,40.59835196,0.132000004,0.025468938
1.63E-07,0.002614178,0.45,4,128,3,48.0374229,0.132000002,0.017795131
5.33E-06,0.019683385,0.4,4,256,6,141.9915457,0.131000002,0.01986622
3.17E-06,8.40E-07,0.3,4,128,3,49.12596083,0.130666668,0.045638675
1.95E-07,0.00204004,0.5,32,64,1,12.17756271,0.130333337,0.020805982
2.32E-07,7.02E-06,0.05,16,256,5,156.9474072,0.13,0.002449489
0.000750049,0.845235513,0.1,4,128,6,120.631315,0.129333335,0.042897814
0.000137741,5.22E-05,0.45,8,256,5,161.2184758,0.129333332,0.0111455
2.88E-07,0.879976975,0.25,32,256,6,209.4007342,0.129000001,0.0287054
3.84E-06,2.61E-05,0.25,8,64,5,51.02002835,0.129000001,0.0139523
2.98E-07,0.000705747,0.15,4,256,6,165.1383452,0.128666669,0.035780195
2.14E-07,1.71E-08,0.05,32,128,5,90.32818341,0.12833333,0.060356347
3.77E-06,0.000140281,0.4,16,64,5,40.94084406,0.128000004,0.021771544
7.54E-06,1.14E-08,0.4,32,64,5,64.09409189,0.12766667,0.026712462
8.98E-06,3.87E-07,0.3,8,256,5,138.8204644,0.126,0.024752105
8.45E-05,0.000537539,0.45,8,64,5,67.29852057,0.125999997,0.020049938
4.43E-05,2.30E-05,0.4,32,128,3,52.75307631,0.124,0.008981465
3.22E-07,7.88E-07,0.05,4,256,6,138.1124125,0.123666669,0.048992062
6.80E-05,0.089537338,0.5,32,64,1,17.12445259,0.123666666,0.015627608
3.21E-06,4.41E-05,0.4,4,256,4,75.87872529,0.12333333,0.004714044
6.38E-06,3.61E-06,0.35,32,64,1,20.85741448,0.12233333,0.017782639
0.000293568,0.470024867,0.05,4,256,6,136.8289108,0.121999999,0.034708309
1.64E-07,3.30E-05,0.3,16,64,1,10.42050505,0.121666665,0.006649979
1.11E-05,1.51E-08,0.1,32,128,1,19.6102457,0.121666665,0.020072094
6.04E-05,0.315886977,0.05,8,64,1,9.748645306,0.120666665,0.03092284
1.61E-06,0.350868511,0.05,8,128,2,30.47353268,0.120333334,0.015965239
7.80E-06,0.181959462,0.1,8,256,6,109.7942412,0.119666666,0.012814923
6.81E-07,4.43E-06,0.5,32,256,3,80.4321506,0.118666669,0.002867442
0.000355006,0.603747962,0.2,32,64,4,53.18154263,0.118333335,0.020368819
3.34E-07,4.42E-05,0.3,4,128,3,54.79419827,0.118000001,0.012328829
2.61E-05,2.28E-06,0.25,4,64,6,69.20790029,0.117999998,0.030430248
1.34E-07,0.007770097,0.15,4,64,1,7.938123465,0.115666668,0.010402989
0.000342294,7.73E-05,0.4,8,64,5,113.9483259,0.115,0.011860295
2.47E-05,3.76E-06,0.2,8,256,5,176.2347395,0.113333332,0.004784233
3.41E-05,0.079267866,0.1,16,64,4,48.34825063,0.112666667,0.024444949
2.43E-06,2.79E-07,0.2,32,64,4,49.65763879,0.112333337,0.018372686
2.36E-05,0.001243875,0.1,16,128,4,71.81855297,0.110333333,0.024689181
6.10E-06,7.52E-07,0.25,4,64,6,49.49249029,0.109,0.027471198
2.61E-06,0.091940095,0.35,32,64,1,16.93954682,0.108666666,0.024567369
1.47E-07,0.001481749,0.05,8,128,2,39.1510911,0.107000001,0.022686265
8.91E-07,0.017142446,0.35,32,64,1,11.25656629,0.105999999,0.01131371
